"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"113",0.419533401395341,0.631991094573351,5.89473241840321,1.14438782944216,4.81000396422976,11.9869585468095,-2.60997954678925,1.14438782944216,-0.20612,3.04243163734709,2017-04-01
"114",-0.763812222167701,-0.567622716567826,4.51986690034479,0.606671358713844,3.72774782577588,10.7385202135774,-3.94377811094452,0.606671358713844,-0.40691,2.34453238631916,2017-07-01
"115",-1.29303521457052,-1.1360431582859,3.68590332272041,-0.320485212762689,3.26125202824226,10.014167916042,-4.71961711451968,-0.320485212762689,-0.55738,1.39724973802761,2017-10-01
"116",-1.12760550472171,-1.00851652065893,3.55360146780478,-0.492429208294668,3.4565439352721,9.98916887709993,-4.79329826612116,-0.492429208294668,-0.35183,0.735614611690789,2018-01-01
"117",-0.810259735701777,-0.721265422737048,3.6121353558278,0.263028777870723,3.77816553121999,10.1568158771549,-4.67974099678986,0.263028777870723,-0.052698,0.742012115983887,2018-04-01
"118",-0.778281110323576,-0.719827603349501,3.3783235972254,1.01828767211923,3.79292218165453,10.0274462327304,-4.85600697906278,1.01828767211923,0.27747,1.09185808895891,2018-07-01
"119",-1.21498542665896,-1.20226003151666,2.58492131695763,1.05605192111483,3.31397918974551,9.32088235294117,-5.57872005000351,1.05605192111483,0.3469,1.2631527289626,2018-10-01
"120",1.34105010924958,1.39261108734598,5.23405181673866,1.02224323613476,5.87179440729797,12.117782369146,-2.91206679311745,1.02224323613476,0.56701,0.888503558297926,2019-01-01
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-01
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-01
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-01
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-01
