"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"116",1.48775044902388,1.6846822560961,5.73392348594064,-19.5582566146245,-4.00270516717327,20.656761205531,0.366445443971912,-0.4071,2.11674805879475,2018-01-01
"117",1.81002858756455,2.08794045584492,6.50092465067635,-11.6781505522775,-3.02814903606031,21.2198652112047,-0.400005708470415,-0.60566,0.702265978654748,2018-04-01
"118",2.7467118571299,3.12970873891317,8.06676991128046,-7.38396911723683,-1.20554515906628,22.5791613316262,0.454921281041909,-0.68155,1.92987176499434,2018-07-01
"119",3.75391800677932,4.26859237932521,9.91270959229877,-4.21534978492403,0.955652680652662,24.2153082549634,1.10811492192091,-0.65692,3.39979207711212,2018-10-01
"120",3.59582357072537,4.22988102643322,10.602618539181,-2.97890230263749,1.98758620689654,24.7012356321839,1.38210937770194,-0.536,4.855158682404,2019-01-01
"121",3.22917009928216,3.96253529379982,11.049437595214,1.61432105560382,2.79661785545582,24.951600358613,0.588355301279414,-0.34124,5.31437435252818,2019-04-01
"122",3.26359182392045,4.08894504858253,11.9274931225205,0.453271694783979,4.06989097008665,25.6382896735147,0.451157171827148,-0.087497,5.91994275749678,2019-07-01
"123",3.69782557578344,4.6210695558436,13.3063839948529,-1.18948614569348,5.892333149476,26.8287394914432,0.827848968195142,0.20751,6.17880668861019,2019-10-01
"124",3.96231391104695,4.98389687178692,14.589413479102,1.29655290622111,7.66548158897152,27.9276437511337,1.28350538005741,0.50695,6.74496659838605,2020-01-01
"125",11.9996817444152,13.377676829154,25.1384585758652,20.2193251332526,19.0277046979866,38.25725090004,2.15763786412039,0.98144,7.77924657312272,2020-04-01
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-01
