"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"106",5.41871978639224,5.58450807177175,14.2249796924471,16.5390702614504,17.2530123311803,14.5162483318208,4.19526430270742,3.1815,8.56278696770679,2015-07-01
"107",5.49865248238137,5.8661651700553,15.3426914536872,18.7289204025366,18.8380638445524,15.4548334750826,5.47685973679106,3.7407,10.0573684163681,2015-10-01
"108",2.48170131365902,2.94548564884718,12.8780314319629,16.3094083124378,16.784335839599,12.85056824558,1.72438484320902,3.6654,11.0578544818048,2016-01-01
"109",3.69178663638701,4.28362979039079,14.8768012427344,19.0941597562149,19.2530019077544,14.6935772266487,0.53650509904496,3.1281,8.644137084467,2016-04-01
"110",3.53738275392274,4.24405814688876,15.5144881618566,19.2806356013396,20.3850414593698,15.1767422690469,4.4317487310609,2.5317,9.87286403115135,2016-07-01
"111",0.856599009950116,1.58054176417471,13.1629782097851,19.7807482053596,18.4725272331155,12.7040985639998,1.28094866735336,1.6519,10.5748888823785,2016-10-01
"112",-0.106518694350854,0.593322257361393,12.3377982994942,18.5103402584068,18.0700300558179,11.7722907760375,-0.8576460279619,0.74057,8.61606947005652,2017-01-01
"113",-1.83342870319854,-1.22303370518065,10.4044000531474,15.0936407024142,16.5119009838147,9.75613086173394,-0.0437708112271153,-0.49337,7.54994925487321,2017-04-01
"114",-3.33290248363269,-2.86812869640019,8.37167368822918,13.5307112748401,14.8024606401835,7.66279771214084,-1.25404162762783,-2.1088,5.95282246315163,2017-07-01
"115",-4.05742553920459,-3.76631839758912,6.90989589520817,12.467895007671,13.6259301130524,6.15498589578186,-1.1990672501627,-3.016,4.28406945723736,2017-10-01
"116",-4.06627947883882,-3.9501122043655,6.08462250916554,9.59393722961383,13.0643161094225,5.2911976111991,-0.431145644432504,-3.1322,3.33161521485968,2018-01-01
"117",-2.6234101117623,-2.63227496436596,6.90216009666585,8.9811181943675,14.1694436120268,6.06396243852038,0.926911450595259,-2.7193,2.76725640616625,2018-04-01
"118",-3.64971893110311,-3.81277570494919,5.01749951327491,8.08728255728931,12.5204176105584,4.14906390557798,1.14470764962954,-2.3028,3.59300637380112,2018-07-01
"119",-3.10950326369723,-3.40303092610432,4.7406924063288,8.24484438777924,12.4715326340326,3.8433265010851,-0.642106311890422,-1.8613,2.61598404808228,2018-10-01
"120",-2.84795791270219,-3.25592335835907,4.18814057755273,5.99831060849797,12.1310440613027,3.26468312076838,0.670583044188749,-1.2478,2.49896996166523,2019-01-01
"121",-1.45598567386065,-1.92408182191906,4.98280693184074,7.84070122711796,13.1604818138876,4.02743157915032,1.0654867884739,-0.30875,2.3432635811978,2019-04-01
"122",-0.630414121843444,-1.12251153679333,5.34823056156381,7.2888592097095,13.7716242661448,4.35844585149869,2.15750765813981,0.69061,3.40206807463144,2019-07-01
"123",-2.11482271392228,-2.67187448957677,3.13310051269821,6.11310832424257,11.7377642949071,2.12022825455233,0.474426176452042,1.1749,3.96290356349589,2019-10-01
"124",0.742967426715268,0.222476573433539,5.76086111166455,2.19091273512757,14.6234808634137,4.7108461817522,0.476298315242026,1.4238,2.48324981103686,2020-01-01
"125",9.08677530926221,8.88648533440221,15.4204523010042,10.8652270456645,24.8292080536913,14.2913539268412,7.33342758587649,2.7397,3.78155075159758,2020-04-01
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-01
